site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,phenophase_id,phenophase_description,pheno_class_id,pheno_class_name,first_yes_sample_size,mean_first_yes_year,mean_first_yes_doy,mean_first_yes_julian_date,se_first_yes_in_days,mean_numdays_since_prior_no,se_numdays_since_prior_no,last_yes_sample_size,mean_last_yes_year,mean_last_yes_doy,mean_last_yes_julian_date,se_last_yes_in_days,mean_numdays_until_next_no,se_numdays_until_next_no,mean_gdd,se_gdd,mean_gddf,se_gddf,tmax_winter,tmax_spring,tmax_summer,tmax_fall,tmin_winter,tmin_spring,tmin_summer,tmin_fall,prcp_winter,prcp_spring,prcp_summer,prcp_fall,mean_accum_prcp,se_accum_prcp,mean_daylength,se_daylength
2,43.08535,-70.69133,12,ME,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,3,2009,122,2454954,0,13,0,0,-9999,-9999,-9999,-9999,-9999,-9999,367.5,0,661.5,0,2.1,13.1,23.53,14.97,-8.63,1.87,14.17,4.52,351,381,609,628,436,0,50112,0
507,42.335072,-79.608025,185,NY,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,109,2454941,-9999,5,-9999,-9999,-9999,-9999,-9999,1.04,13.66,23.82,15.38,-7.13,2.61,15.28,6.78,282,252,432,372,-9999,-9999,-9999,-9999
721,47.001858,-118.566689,493,WA,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,96,2454928,-9999,28,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,228.5,-9999,411.3,-9999,1.71,15.59,29.84,17.11,-5.72,1.78,12.03,3.42,97,108,23,34,123,-9999,46310,-9999
792,42.57468,-71.786575,146,MA,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,105,2454937,-9999,11,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,192.75,-9999,346.95,-9999,1.49,14.33,24.96,15.52,-9.48,2.01,14.26,4.29,319,282,446,353,283,-9999,47347,-9999
814,35.67955,-86.939308,221,TN,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,81,2454913,-9999,5,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,444,-9999,799.2,-9999,9.81,20.45,30.21,21.41,-2.67,8.07,17.91,7.73,336,582,308,242,215,-9999,43200,-9999
865,39.123459,-119.740456,1452,NV,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,84,2454916,-9999,19,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,322.75,-9999,580.95,-9999,8.94,18.13,29.99,21.64,-4.15,1.84,10.68,3.43,58,58,14,19,83,-9999,43546,-9999
870,39.230633,-76.832886,131,MD,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,91,2454923,-9999,14,-9999,1,2009,102,2454934,-9999,1,-9999,314.5,-9999,566.1,-9999,5.74,17.27,27.74,18.29,-3.49,6.72,17.95,8.31,204,425,306,279,161,-9999,44928,-9999
878,41.597931,-87.063187,197,IN,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,109,2454941,-9999,4,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,337,-9999,606.6,-9999,0.26,15.13,25.51,16.33,-9.23,3.9,15.49,6.69,283,361,322,551,364,-9999,48038,-9999
947,34.914013,-80.931053,196,SC,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,67,2454899,-9999,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,439,-9999,790.2,-9999,12.9,21.89,31.38,21.34,1.33,9.7,19.84,9.36,219,316,268,245,187,-9999,41472,-9999
949,39.816456,-83.858879,309,OH,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,2,2009,108,2454940,0,8,0,-9999,-9999,-9999,-9999,2.53,17.48,26.64,18.13,-7.04,5.17,15.53,5.71,255,234,361,171,-9999,-9999,-9999,-9999
1062,43.227459,-76.121017,118,NY,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,95,2454927,-9999,8,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,147.5,-9999,265.5,-9999,0.06,13.81,25.02,14.8,-8.95,1.63,13.73,4.76,275,298,379,342,290,-9999,45619,-9999
1175,35.475189,-82.769226,814,NC,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,1,2009,76,2454908,-9999,6,-9999,1,2009,101,2454933,-9999,7,-9999,309,-9999,556.2,-9999,8.59,17.36,25.41,17.19,-3.58,5.03,14.22,4.45,255,441,281,163,181,-9999,42509,-9999
1211,36.161465,-87.016701,166,TN,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,102,2454934,-9999,7,-9999,-9999,-9999,-9999,-9999,9.31,20.3,29.6,21.23,-2.96,8.01,18,7.71,483,495,345,222,-9999,-9999,-9999,-9999
1212,36.161465,-87.016701,166,TN,73,Forsythia,spp.,forsythia,Plantae,371,Breaking leaf buds,1,Initial shoot or leaf growth,0,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,102,2454934,-9999,7,-9999,-9999,-9999,-9999,-9999,9.31,20.3,29.6,21.23,-2.96,8.01,18,7.71,483,495,345,222,-9999,-9999,-9999,-9999
